AccusedMasterID,RiskScore,RepeatOffenderFlag,TopFactors,LastComputedDate,ModelVersion
1,63.0,1,"{""prior_case_count"": 2, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 28, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
2,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 112, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
3,53.0,1,"{""prior_case_count"": 2, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 86, ""contribution_prior_cases"": 28, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
4,100.0,1,"{""prior_case_count"": 16, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 129, ""contribution_prior_cases"": 224, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
5,83.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 336, ""contribution_prior_cases"": 56, ""contribution_heinous"": 10, ""contribution_recency"": 7}",2026-07-13,heuristic-v1
6,100.0,1,"{""prior_case_count"": 11, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 38, ""contribution_prior_cases"": 154, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
7,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 18, ""contribution_prior_cases"": 70, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
8,100.0,1,"{""prior_case_count"": 16, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 129, ""contribution_prior_cases"": 224, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
9,100.0,1,"{""prior_case_count"": 16, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 129, ""contribution_prior_cases"": 224, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
10,100.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 70, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
11,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 84, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
12,100.0,1,"{""prior_case_count"": 8, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 112, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
13,100.0,1,"{""prior_case_count"": 7, ""heinous_case_count"": 1, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 98, ""contribution_heinous"": 10, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
14,73.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 189, ""contribution_prior_cases"": 56, ""contribution_heinous"": 0, ""contribution_recency"": 7}",2026-07-13,heuristic-v1
15,100.0,1,"{""prior_case_count"": 11, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 154, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
16,100.0,1,"{""prior_case_count"": 9, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 126, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
17,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 84, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
18,100.0,1,"{""prior_case_count"": 4, ""heinous_case_count"": 3, ""most_recent_case_days_ago"": 92, ""contribution_prior_cases"": 56, ""contribution_heinous"": 30, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
19,100.0,1,"{""prior_case_count"": 6, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 54, ""contribution_prior_cases"": 84, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
20,100.0,1,"{""prior_case_count"": 13, ""heinous_case_count"": 2, ""most_recent_case_days_ago"": 3, ""contribution_prior_cases"": 182, ""contribution_heinous"": 20, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
21,95.0,1,"{""prior_case_count"": 5, ""heinous_case_count"": 0, ""most_recent_case_days_ago"": 124, ""contribution_prior_cases"": 70, ""contribution_heinous"": 0, ""contribution_recency"": 15}",2026-07-13,heuristic-v1
